PMCID,DOI,ArticleType,Received,Accepted,ReviewTime,URL of Editorial Board,EIC is author,Associate Editor is author,Editorial Board member is author,Comment,Type by journal,Type by me,Binary type
PMC7299396,10.1021/acssensors.0c00979,Journal Article / Review,13/05/2020,02/06/2020,20,https://pubs.acs.org/page/ascefj/editors.html,0,0,0,Perspective,Perspective,Perspective,Editorial
PMC7288975,10.18632/aging.103347,Journal Article,29/04/2020,19/05/2020,20,https://www.aging-us.com/editorial-board,0,0,0,Perspective,Research perspective,Perspective,Editorial
PMC7280705,10.1002/agm2.12114,Journal Article,06/04/2020,26/04/2020,20,https://onlinelibrary.wiley.com/page/journal/24750360/homepage/EditorialBoard.html,0,1,0,Article,Original article,Article,Article
PMC7241861,10.1007/s11869-020-00842-6,Journal Article,24/04/2020,14/05/2020,20,https://www.springer.com/journal/11869/editors?gclid=Cj0KCQjwy8f6BRC7ARIsAPIXOjj9GK_ySZL5l9DWgBDK6t3ADJ8RC-7s7cGZXRqrx44FFZR7X-81LW8aAuGoEALw_wcB,0,0,0,Article,-,Article,Article
PMC7328543,10.1016/j.aller.2020.06.001,Journal Article / Review,31/05/2020,20/06/2020,20,https://www.journals.elsevier.com/allergologia-et-immunopathologia/editorial-board,0,0,0,Review,Review,Review,Editorial
PMC7252188,10.1016/j.ahj.2020.04.024,Journal Article,08/04/2020,28/04/2020,20,https://www.journals.elsevier.com/american-heart-journal/editorial-board,0,0,4,Special article,Special Article,Guidelines,Editorial
PMC7299395,10.1021/acs.analchem.0c01884,Journal Article,02/05/2020,22/05/2020,20,https://pubs.acs.org/page/ancham/editors.html,0,0,0,Article,Article,Article,Article
PMC7214912,10.21037/atm.2020.04.26,Journal Article,27/02/2020,18/03/2020,20,http://atm.amegroups.com/about/editorialTeam,0,0,0,Article,Original article,Article,Article
PMC7214894,10.21037/atm.2020.04.20,Journal Article,10/03/2020,30/03/2020,20,http://atm.amegroups.com/about/editorialTeam,0,0,0,Article,Original article,Article,Article
PMC7154461,10.21037/atm.2020.03.22,Journal Article,19/02/2020,10/03/2020,20,http://atm.amegroups.com/about/editorialTeam,0,0,0,Article,Original article,Article,Article
PMC7188648,10.1016/j.antiviral.2020.104811,Journal Article,05/04/2020,25/04/2020,20,https://www.journals.elsevier.com/antiviral-research/editorial-board,0,0,0,Article,Research paper,Article,Article
PMC7188630,10.1016/j.arcmed.2020.04.016,Journal Article,03/04/2020,23/04/2020,20,https://www.journals.elsevier.com/archives-of-medical-research/editorial-board,0,0,0,Opinion,Opinion,Opinion,Editorial
PMC7265875,10.1007/s00705-020-04683-7,Journal Article,07/04/2020,27/04/2020,20,https://www.springer.com/journal/705/editors?gclid=Cj0KCQjwy8f6BRC7ARIsAPIXOjigxxfY2PLvHKUhmaWRNciO4M2IHIGZtI1kgx8Q55xLYMVE7gjOJcgaAkMDEALw_wcB,0,0,0,Article,Brief report,Article,Article
PMC7186209,10.1016/j.biopha.2020.110195,Journal Article / Review,03/04/2020,23/04/2020,20,https://www.journals.elsevier.com/biomedicine-and-pharmacotherapy/editorial-board,0,0,0,Review,Review,Review,Editorial
PMC7277789,10.3390/biomedicines8050129,Journal Article,25/04/2020,15/05/2020,20,https://www.mdpi.com/journal/biomedicines/editors#editorialboard,0,0,0,Article,Article,Article,Article
PMC7287983,10.3390/brainsci10050284,Journal Article / Review,16/04/2020,06/05/2020,20,https://www.mdpi.com/journal/brainsci/editors,0,0,0,Review,Review,Review,Editorial
PMC7235603,10.1016/j.bbi.2020.05.038,Journal Article,22/04/2020,12/05/2020,20,https://www.journals.elsevier.com/brain-behavior-and-immunity/editorial-board,0,0,0,Article,-,Article,Article
PMC7277776,10.15420/cfr.2020.10,Journal Article / Review,24/04/2020,14/05/2020,20,https://www.cfrjournal.com/cfr-editorial-board,0,0,1,Article,-,Review,Editorial
PMC7181998,10.1016/j.cell.2020.04.004,Journal Article,12/03/2020,01/04/2020,20,https://www.cell.com/cell/editorial-board,0,0,0,Article,Article,Article,Article
PMC7144619,10.1016/j.cell.2020.03.045,Journal Article,28/02/2020,19/03/2020,20,https://www.cell.com/cell/editorial-board,0,0,0,Article,Article,Article,Article
PMC7323371,10.1007/s12195-020-00630-3,Journal Article / Review,29/05/2020,18/06/2020,20,https://www.springer.com/journal/12195/editors?gclid=Cj0KCQjwy8f6BRC7ARIsAPIXOjgtrfqJ-NDDZl6DdFYpypS3m4lXoeJRRjPYgp_spggvEA9xILERUSIaAk9OEALw_wcB,1,0,0,Article,-,Review,Editorial
PMC7324352,10.1016/j.chaos.2020.110052,Journal Article,03/06/2020,23/06/2020,20,https://www.sciencedirect.com/journal/chaos-solitons-and-fractals/about/editorial-board,0,0,0,Article,-,Article,Article
